Month,Variance,s1_cf,s1_cfd,s1_p,s2_cf,s2_cfd,s2_p,s3_cf,s3_cfd,s3_p,s4_cf,s4_cfd,s4_p
1,0.5808,512,0,0.0512,1001,99,0.1001,2289,566,0.2289,5954,0,0.5954
2,0.4948,789,68,0.0526,1659,268,0.1106,3984,1042,0.2656,7238,0,0.4825
3,0.441,1242,180,0.0552,2789,543,0.124,7037,1876,0.3128,8457,0,0.3759
4,0.4098,2018,332,0.0598,4598,1012,0.1362,12261,3316,0.3633,9429,0,0.2794
5,0.4013,3335,690,0.0659,7488,1822,0.1479,20899,5832,0.4128,10155,0,0.2006
6,0.4008,5269,1101,0.0694,11995,2948,0.158,34654,9662,0.4563,10391,0,0.1368
7,0.4156,8027,1845,0.0705,19337,5090,0.1698,56461,16192,0.4957,10582,0,0.0929
8,0.4355,12657,3078,0.0741,30629,8316,0.1793,90460,26242,0.5294,10250,0,0.06
9,0.461,19532,5001,0.0762,47874,13546,0.1868,143796,42109,0.5611,9778,0,0.0382
10,0.4872,29996,7795,0.078,74257,21701,0.1932,225943,67103,0.5877,9258,0,0.0241
11,0.512,45896,12198,0.0796,114872,33971,0.1992,351433,104973,0.6094,8458,0,0.0147
12,0.535,70105,19540,0.081,176510,53434,0.2041,542815,162864,0.6275,7654,0,0.0088
